miss_id,miss_char,miss_count,created_at,updated_at,user_id
148,n,1348,2025-04-02 01:39:22.286462+00,2025-06-30 09:14:46.795741+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
134,d,135,2025-04-02 01:34:37.946977+00,2025-06-26 04:59:43.165609+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
141,e,755,2025-04-02 01:34:37.956471+00,2025-06-27 08:58:50.922929+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
187,p,6,2025-04-02 01:39:56.644428+00,2025-05-22 05:25:25.616088+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
183,m,28,2025-04-02 01:39:56.639124+00,2025-05-20 00:07:55.992146+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
137,k,64,2025-04-02 01:34:37.951013+00,2025-06-26 06:16:19.775797+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
124,o,518,2025-04-02 01:34:17.550391+00,2025-06-30 08:15:35.054379+00,5f19c80d-8883-42f3-9257-f9f899f703d9
173,g,114,2025-04-02 01:39:49.031272+00,2025-06-30 09:17:23.659837+00,575e0431-1085-4d49-9191-86fd4695b554
172,f,41,2025-04-02 01:39:49.02997+00,2025-06-27 01:26:01.781367+00,575e0431-1085-4d49-9191-86fd4695b554
209,h,50,2025-04-02 01:40:49.143219+00,2025-06-30 08:11:58.489073+00,522f3d6d-e633-426b-bf51-b50dee27ec96
214,z,24,2025-04-02 01:40:49.150874+00,2025-06-20 06:00:02.388117+00,522f3d6d-e633-426b-bf51-b50dee27ec96
196,o,68,2025-04-02 01:40:08.440274+00,2025-06-30 03:47:57.630817+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
139,m,77,2025-04-02 01:34:37.953819+00,2025-06-27 08:58:50.92549+00,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9
146,g,261,2025-04-02 01:39:22.283794+00,2025-06-30 09:14:46.797034+00,7b341d92-c6ef-4d5d-bf17-6551f9842b9f
166,e,364,2025-04-02 01:39:49.022074+00,2025-06-30 09:14:03.916789+00,575e0431-1085-4d49-9191-86fd4695b554
123,m,142,2025-04-02 01:34:17.549061+00,2025-06-30 08:15:35.055717+00,5f19c80d-8883-42f3-9257-f9f899f703d9
117,s,416,2025-04-02 01:34:17.541085+00,2025-06-30 08:15:35.057009+00,5f19c80d-8883-42f3-9257-f9f899f703d9
198,a,85,2025-04-02 01:40:08.442901+00,2025-06-30 03:47:57.632083+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
182,i,85,2025-04-02 01:39:56.637796+00,2025-05-23 00:20:20.1989+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
129,k,305,2025-04-02 01:34:17.556989+00,2025-06-30 08:12:09.585141+00,5f19c80d-8883-42f3-9257-f9f899f703d9
161,i,588,2025-04-02 01:39:49.015345+00,2025-06-30 09:14:03.918112+00,575e0431-1085-4d49-9191-86fd4695b554
169,n,661,2025-04-02 01:39:49.026029+00,2025-06-30 09:14:03.919381+00,575e0431-1085-4d49-9191-86fd4695b554
163,o,520,2025-04-02 01:39:49.018062+00,2025-06-30 09:17:23.657217+00,575e0431-1085-4d49-9191-86fd4695b554
160,a,555,2025-04-02 01:39:49.013936+00,2025-06-30 09:17:23.661111+00,575e0431-1085-4d49-9191-86fd4695b554
212,d,47,2025-04-02 01:40:49.147571+00,2025-06-30 08:00:20.191304+00,522f3d6d-e633-426b-bf51-b50dee27ec96
178,n,96,2025-04-02 01:39:56.632481+00,2025-05-23 00:20:20.200198+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
170,r,280,2025-04-02 01:39:49.027345+00,2025-06-30 09:17:23.662381+00,575e0431-1085-4d49-9191-86fd4695b554
179,r,54,2025-04-02 01:39:56.633834+00,2025-05-23 00:20:20.204158+00,78d9548f-bbcf-4129-a8a7-e0a841a295b3
206,e,54,2025-04-02 01:40:08.453523+00,2025-06-26 09:03:31.713338+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
199,k,39,2025-04-02 01:40:08.444228+00,2025-06-26 08:36:37.763386+00,6bdcd97d-6502-462a-84f1-b5d3afefa313
